A,W,MT,ID
512,32,855,4
512,32,833,4
512,32,709,4
512,32,787,4
64,16,721,2
64,16,723,2
64,16,703,2
64,16,580,2
128,16,670,3
128,16,651,3
128,16,745,3
128,16,706,3
128,64,481,2
128,64,489,2
128,64,433,2
128,64,483,2
1024,128,660,3
1024,128,668,3
1024,128,565,3
1024,128,824,3
128,32,713,2
128,32,826,2
128,32,597,2
128,32,694,2
512,8,915,6
512,8,981,6
512,8,1464,6
512,8,1773,6
1024,256,520,2
1024,256,518,2
1024,256,503,2
1024,256,553,2
1024,64,758,4
1024,64,818,4
1024,64,787,4
1024,64,990,4
256,128,477,2
256,128,460,2
256,128,433,2
256,128,465,2
256,16,751,4
256,16,949,4
256,16,964,4
256,16,977,4
256,8,896,5
256,8,884,5
256,8,972,5
256,8,925,5
1024,16,1155,6
1024,16,718,6
1024,16,1052,6
1024,16,956,6
512,64,620,3
512,64,715,3
512,64,678,3
512,64,542,3
64,8,1014,3
64,8,761,3
64,8,873,3
64,8,966,3
512,16,909,5
512,16,887,5
512,16,1039,5
512,16,1059,5
256,64,532,2
256,64,736,2
256,64,614,2
256,64,640,2
128,8,896,4
128,8,828,4
128,8,873,4
128,8,862,4
32,16,611,2
32,16,544,2
32,16,633,2
32,16,636,2
256,32,769,3
256,32,779,3
256,32,638,3
256,32,702,3
32,8,881,2
32,8,783,2
32,8,852,2
32,8,1062,2
1024,8,1280,7
1024,8,1638,7
1024,8,1422,7
1024,8,1048,7
1024,32,1256,5
1024,32,946,5
1024,32,875,5
1024,32,934,5
512,256,478,2
512,256,466,2
512,256,800,2
512,256,421,2
64,32,521,2
64,32,544,2
64,32,550,2
64,32,485,2
512,128,802,2
512,128,766,2
512,128,512,2
512,128,508,2
